customer_id,first_name,last_name,dob,country_code,id_number,email,phone,risk_flag,age
364,Stephanie,Smith,1990-06-22,ML,570-49-7327,wellsmichael@example.com,590.461.3282,High,35
368,Christopher,Fisher,1997-07-29,SD,763-14-8920,morrissierra@example.com,001-230-766-3640x4126,High,28
369,Rhonda,Burch,1987-06-25,IS,453-73-6132,victoria03@example.net,001-951-634-6303,High,38
395,Heather,Leon,1968-09-27,JM,737-67-5196,meghanchapman@example.net,470.710.1540x904,High,57
397,Steven,Wyatt,1996-06-18,RU,247-91-9054,castrocharles@example.net,+1-529-865-4314x067,High,29
415,Nancy,Sparks,1956-04-17,CH,208-85-4263,sara37@example.net,+1-457-680-6800,High,69
420,Kayla,Zhang,1953-10-05,PK,773-43-7382,dylanmendez@example.net,+1-992-653-3671x47573,High,72
431,Crystal,Hernandez,1988-08-27,IR,834-96-4010,davidreyes@example.org,(382)538-1680x682,High,37
433,Kimberly,Hughes,1970-05-07,IS,291-77-3500,leemann@example.net,001-284-958-0720,High,55
437,Christine,Clark,1995-09-18,IR,478-21-6382,pjordan@example.net,912-800-8779x658,High,30
445,Emily,Perkins,1960-03-30,MD,588-20-2533,pstewart@example.net,(246)554-5861,High,65
485,April,Salinas,1977-03-01,SD,140-64-3256,alison45@example.com,+1-715-613-3839,High,48
488,Nicole,Bond,1999-12-16,VN,767-08-6667,fhunter@example.net,+1-564-948-2885x02508,High,26
529,Abigail,Monroe,1951-09-21,BO,599-96-3054,anitagibson@example.org,(206)953-4045x06000,High,74
549,Katherine,Ward,1956-08-22,CO,420-94-1540,cjackson@example.com,001-436-924-5248x143,High,69
557,Dawn,Conway,1968-09-18,BE,280-97-6610,joseph97@example.com,372.877.3613,High,57
574,Bobby,Wilson,1945-01-06,IR,054-33-3256,jenny64@example.net,9843337443,High,80
598,Amber,Smith,2007-01-23,MK,830-17-5912,casey22@example.net,236-413-1056x488,High,18
600,Michelle,Alexander,1989-03-04,MG,186-98-8176,faith00@example.com,244-410-1150,High,36
615,Bobby,Hamilton,1970-07-29,IR,268-19-1061,nicole55@example.net,001-296-329-7922,High,55
623,Charles,Calhoun,1962-11-15,KP,069-52-9729,christopherpatterson@example.net,+1-564-411-5518x90980,High,63
627,David,Garza,1972-06-13,BS,659-35-6255,justinjones@example.net,+1-682-902-7650x696,High,53
633,Shelly,Cook,1971-06-21,SE,445-40-4475,ctaylor@example.com,615-388-7224x52469,High,54
641,Sally,Simmons,1949-09-30,NA,095-91-9054,justinjohnson@example.com,001-493-679-0606,High,76
643,William,Pruitt,1989-06-25,KP,327-71-5467,steven09@example.org,9102880523,High,36
648,Steven,Burch,1971-10-05,BG,395-63-9185,ryan95@example.com,342.928.7275x626,High,54
688,Jacqueline,Gilmore,1982-02-08,TH,001-93-6150,carolbailey@example.com,(648)759-5282x483,High,43
696,Lonnie,Simpson,1975-07-20,IT,031-74-0794,hernandezmadeline@example.com,(610)263-8298x540,High,50
698,Justin,Stokes,2003-01-24,AM,266-05-8033,hicksmichael@example.org,989-782-1451,High,22
714,James,Chaney,1988-12-01,GQ,729-33-9470,smallsusan@example.com,+1-649-816-0758x126,High,37
725,Mary,Terrell,1950-08-29,NZ,443-39-6171,xrhodes@example.com,859-380-6117,High,75
744,Antonio,Long,1955-07-03,DE,136-76-1338,carrie91@example.com,(704)864-3113x46327,High,70
790,Michael,Odom,2003-04-02,SD,592-40-6484,harrisgordon@example.net,001-374-609-7613x51614,High,22
791,Lindsay,Aguilar,1961-03-20,IR,156-62-2272,haleygeorge@example.net,001-366-448-2717x5445,High,64
829,Lucas,Stephens,1959-02-21,RU,795-07-4091,glennrussell@example.com,4525200232,High,66
832,Glenda,Chapman,1978-06-20,SN,774-20-4233,grant70@example.net,256.898.7402,High,47
849,Alexandra,Jones,1998-02-02,CZ,519-10-6380,martinezerin@example.org,+1-566-220-0375,High,27
873,Tony,Johnson,1974-02-06,MX,867-91-0565,durancaleb@example.org,+1-428-703-3434x01576,High,51
898,David,Vargas,1963-11-14,JO,769-20-0185,jessicahaley@example.org,(290)677-2112,High,62
904,Todd,Rodriguez,1952-04-07,CA,537-87-9335,hebertvirginia@example.com,+1-653-796-1121x83901,High,73
912,Shannon,Thornton,1953-10-03,FR,559-64-8924,mosleythomas@example.org,668-872-2812x335,High,72
945,Jennifer,Thomas,1994-06-05,SD,401-77-5521,patrick15@example.net,+1-826-412-8295,High,31
958,James,Clark,1962-07-20,CM,346-83-4702,carlyfarley@example.org,+1-494-281-4932x365,High,63
960,Crystal,Smith,1976-04-30,NG,064-73-7701,ujohnson@example.com,+1-279-205-9488x52816,High,49
971,Amy,Lewis,1992-05-20,KP,341-71-4178,stephaniehess@example.org,+1-489-909-3381x19640,High,33
988,John,Jones,1972-09-17,FR,568-03-6700,brian70@example.org,781-622-3435x868,High,53
1000,Bobby,Harris,1956-12-11,BY,418-52-3176,teresa13@example.net,497-808-2500,High,69
